EvtKaon,EvtPion,ctau,cosine
0.0,0.0,0.0001,-0.7
0.0,0.0,0.0001,-0.5
0.0,0.0,0.0001,-0.3
0.0,0.0,0.0001,-0.1
2.6717178459851705e-65,3.7668479570416895e-64,0.0001,0.1
1.2486056718347124e-18,1.3971872624025282e-17,0.0001,0.3
1.5065238141929882e-08,1.5249664335273996e-07,0.0001,0.5
0.0003558522001827172,0.0033812227588183703,0.0001,0.7
0.08984434446533938,0.8084842767588951,0.0001,0.9
242165.74592639937,7204819.4682097575,100000.0,-0.7
251564.54233486787,7512038.725654215,100000.0,-0.5
255683.5618887011,7667129.010969557,100000.0,-0.3
258228.1093666328,7776129.1198452525,100000.0,-0.1
259610.06901198483,7833603.734728154,100000.0,0.1
258875.46637016383,7797460.280569045,100000.0,0.3
256467.59136987012,7697569.092746906,100000.0,0.5
252361.79820511688,7548130.728161649,100000.0,0.7
243062.83530515482,7244557.9271989,100000.0,0.9
