EvtKaon,EvtPion,ctau,cosine
0.0,0.0,1e-05,-0.7
0.0,0.0,1e-05,-0.5
0.0,0.0,1e-05,-0.3
0.0,0.0,1e-05,-0.1
0.0,0.0,1e-05,0.1
4.24318561783171e-168,4.666216181796793e-167,1e-05,0.3
2.0538287910374104e-98,2.0591161498331254e-97,1e-05,0.5
1.6529086209508005e-68,1.559639663821471e-67,1e-05,0.7
5.828396568718532e-52,5.196256716189929e-51,1e-05,0.9
0.0,0.0,1.5998587196060572e-05,-0.7
0.0,0.0,1.5998587196060572e-05,-0.5
0.0,0.0,1.5998587196060572e-05,-0.3
0.0,0.0,1.5998587196060572e-05,-0.1
0.0,0.0,1.5998587196060572e-05,0.1
6.078466221635704e-106,6.696640637478922e-105,1.5998587196060572e-05,0.3
4.779373046483606e-61,4.79526577821388e-60,1.5998587196060572e-05,0.5
8.992132886143906e-42,8.488214813711772e-41,1.5998587196060572e-05,0.7
3.975857612076212e-31,3.545660358641279e-30,1.5998587196060572e-05,0.9
0.0,0.0,2.559547922699533e-05,-0.7
0.0,0.0,2.559547922699533e-05,-0.5
0.0,0.0,2.559547922699533e-05,-0.3
0.0,0.0,2.559547922699533e-05,-0.1
2.8347370069816326e-209,3.99640231132984e-208,2.559547922699533e-05,0.1
4.763753232551983e-67,5.262001937128194e-66,2.559547922699533e-05,0.3
1.1704237999336895e-37,1.17567524640964e-36,2.559547922699533e-05,0.5
4.968351797979772e-25,4.692946528601123e-24,2.559547922699533e-05,0.7
4.512969625032611e-18,4.026480557292402e-17,2.559547922699533e-05,0.9
0.0,0.0,4.094915062380427e-05,-0.7
0.0,0.0,4.094915062380427e-05,-0.5
0.0,0.0,4.094915062380427e-05,-0.3
0.0,0.0,4.094915062380427e-05,-0.1
8.019803075305158e-137,1.1306697533566746e-135,4.094915062380427e-05,0.1
1.0629507185689034e-42,1.178347437054116e-41,4.094915062380427e-05,0.3
5.141251839936758e-23,5.173383067158505e-22,4.094915062380427e-05,0.5
1.520085592374673e-14,1.4372600169327158e-13,4.094915062380427e-05,0.7
6.848119236969795e-10,6.114320016753354e-09,4.094915062380427e-05,0.9
0.0,0.0,6.55128556859551e-05,-0.7
0.0,0.0,6.55128556859551e-05,-0.5
0.0,0.0,6.55128556859551e-05,-0.3
0.0,0.0,6.55128556859551e-05,-0.1
1.878347702655003e-91,2.648243112640433e-90,6.55128556859551e-05,0.1
1.926284152932741e-27,2.145344599705854e-26,6.55128556859551e-05,0.3
7.653112088097302e-14,7.720858731963408e-13,6.55128556859551e-05,0.5
5.653202965484055e-08,5.353751931707618e-07,6.55128556859551e-05,0.7
9.269660147525592e-05,0.00082903854542191,6.55128556859551e-05,0.9
0.0,0.0,0.00010481131341546853,-0.7
0.0,0.0,0.00010481131341546853,-0.5
0.0,0.0,0.00010481131341546853,-0.3
0.0,0.0,0.00010481131341546853,-0.1
5.150616081456208e-63,7.261848274167333e-62,0.00010481131341546853,0.1
7.374545480050651e-18,8.256705082435626e-17,0.00010481131341546853,0.3
4.3796458206171225e-08,4.435357241637706e-07,0.00010481131341546853,0.5
0.0007677831627107794,0.007300353526284331,0.00010481131341546853,0.7
0.1654168872180288,1.4904008595258404,0.00010481131341546853,0.9
0.0,0.0,0.00016768329368110083,-0.7
0.0,0.0,0.00016768329368110083,-0.5
0.0,0.0,0.00016768329368110083,-0.3
0.0,0.0,0.00016768329368110083,-0.1
3.6748112037516336e-45,5.181158231080114e-44,0.00016768329368110083,0.1
8.188017464252083e-12,9.220206753401127e-11,0.00016768329368110083,0.3
0.00019381123388069566,0.0019773151274241887,0.00016768329368110083,0.5
0.3493268540002971,3.362909976935655,0.00016768329368110083,0.7
22.906566918996322,210.43419608452984,0.00016768329368110083,0.9
0.0,0.0,0.0002682695795279727,-0.7
0.0,0.0,0.0002682695795279727,-0.5
0.0,0.0,0.0002682695795279727,-0.3
0.0,0.0,0.0002682695795279727,-0.1
6.340011706582783e-34,8.93890470957392e-33,0.0002682695795279727,0.1
5.8682858108887705e-08,6.653514486238815e-07,0.0002682695795279727,0.3
0.04718723334961345,0.4889885080600605,0.0002682695795279727,0.5
21.923312168292117,215.646365349052,0.0002682695795279727,0.7
702.2416163471811,6615.847204230804,0.0002682695795279727,0.9
0.0,0.0,0.00042919342601287783,-0.7
0.0,0.0,0.00042919342601287783,-0.5
0.0,0.0,0.00042919342601287783,-0.3
0.0,0.0,0.00042919342601287783,-0.1
8.00731175784504e-27,1.1289842249549854e-25,0.00042919342601287783,0.1
2.0197987500014658e-05,0.00023156382690624487,0.00042919342601287783,0.3
2.107492874914303,22.291030103136343,0.00042919342601287783,0.5
414.3218326129777,4166.386231468138,0.00042919342601287783,0.7
8342.530351404344,80531.06949576578,0.00042919342601287783,0.9
0.0,0.0,0.0006866488450042998,-0.7
0.0,0.0,0.0006866488450042998,-0.5
0.0,0.0,0.0006866488450042998,-0.3
0.0,0.0,0.0006866488450042998,-0.1
2.6670708356274717e-22,3.761636771026083e-21,0.0006866488450042998,0.1
0.0011615938173946717,0.01350387515872649,0.0006866488450042998,0.3
33.1323922190981,356.8285420427584,0.0006866488450042998,0.5
3652.1035473536576,37485.33028764094,0.0006866488450042998,0.7
54015.73971327227,535210.2727144437,0.0006866488450042998,0.9
0.0,0.0,0.0010985411419875584,-0.7
0.0,0.0,0.0010985411419875584,-0.5
0.0,0.0,0.0010985411419875584,-0.3
0.0,0.0,0.0010985411419875584,-0.1
2.342933154428522e-19,3.3113007957716714e-18,0.0010985411419875584,0.1
